height_map envu: number_of_rows = 40, number_of_columns = 40
SERV_IP = 192.168 123
my_vehicle->iID = 868
P.y = 19.322323, Pt.y = 0.000000, Q.y = 19.322323, Qt.y = 0.000000, R.y = 19.322323, Rt.y = 0.000000, S.y = 19.322323, St.y = 0.000000
P.y = 19.291868, Pt.y = 0.000000, Q.y = 19.291868, Qt.y = 0.000000, R.y = 19.291868, Rt.y = 0.000000, S.y = 19.291868, St.y = 0.000000
P.y = 19.260746, Pt.y = 0.000000, Q.y = 19.260746, Qt.y = 0.000000, R.y = 19.260746, Rt.y = 0.000000, S.y = 19.260746, St.y = 0.000000
P.y = 19.228954, Pt.y = 0.000000, Q.y = 19.228954, Qt.y = 0.000000, R.y = 19.228954, Rt.y = 0.000000, S.y = 19.228954, St.y = 0.000000
P.y = 19.196493, Pt.y = 0.000000, Q.y = 19.196493, Qt.y = 0.000000, R.y = 19.196493, Rt.y = 0.000000, S.y = 19.196493, St.y = 0.000000
P.y = 19.174265, Pt.y = 0.000000, Q.y = 19.174265, Qt.y = 0.000000, R.y = 19.174265, Rt.y = 0.000000, S.y = 19.174265, St.y = 0.000000
P.y = 19.151733, Pt.y = 0.000000, Q.y = 19.151733, Qt.y = 0.000000, R.y = 19.151733, Rt.y = 0.000000, S.y = 19.151733, St.y = 0.000000
P.y = 19.128899, Pt.y = 0.000000, Q.y = 19.128899, Qt.y = 0.000000, R.y = 19.128899, Rt.y = 0.000000, S.y = 19.128899, St.y = 0.000000
P.y = 19.105761, Pt.y = 0.000000, Q.y = 19.105761, Qt.y = 0.000000, R.y = 19.105761, Rt.y = 0.000000, S.y = 19.105761, St.y = 0.000000
P.y = 19.082319, Pt.y = 0.000000, Q.y = 19.082319, Qt.y = 0.000000, R.y = 19.082319, Rt.y = 0.000000, S.y = 19.082319, St.y = 0.000000
P.y = 19.058575, Pt.y = 0.000000, Q.y = 19.058575, Qt.y = 0.000000, R.y = 19.058575, Rt.y = 0.000000, S.y = 19.058575, St.y = 0.000000
P.y = 19.034527, Pt.y = 0.000000, Q.y = 19.034527, Qt.y = 0.000000, R.y = 19.034527, Rt.y = 0.000000, S.y = 19.034527, St.y = 0.000000
P.y = 19.010176, Pt.y = 0.000000, Q.y = 19.010176, Qt.y = 0.000000, R.y = 19.010176, Rt.y = 0.000000, S.y = 19.010176, St.y = 0.000000
P.y = 18.985521, Pt.y = 0.000000, Q.y = 18.985521, Qt.y = 0.000000, R.y = 18.985521, Rt.y = 0.000000, S.y = 18.985521, St.y = 0.000000
P.y = 18.960564, Pt.y = 0.000000, Q.y = 18.960564, Qt.y = 0.000000, R.y = 18.960564, Rt.y = 0.000000, S.y = 18.960564, St.y = 0.000000
P.y = 18.935303, Pt.y = 0.000000, Q.y = 18.935303, Qt.y = 0.000000, R.y = 18.935303, Rt.y = 0.000000, S.y = 18.935303, St.y = 0.000000
P.y = 18.909739, Pt.y = 0.000000, Q.y = 18.909739, Qt.y = 0.000000, R.y = 18.909739, Rt.y = 0.000000, S.y = 18.909739, St.y = 0.000000
P.y = 18.883871, Pt.y = 0.000000, Q.y = 18.883871, Qt.y = 0.000000, R.y = 18.883871, Rt.y = 0.000000, S.y = 18.883871, St.y = 0.000000
P.y = 18.857700, Pt.y = 0.000000, Q.y = 18.857700, Qt.y = 0.000000, R.y = 18.857700, Rt.y = 0.000000, S.y = 18.857700, St.y = 0.000000
P.y = 18.831226, Pt.y = 0.000000, Q.y = 18.831226, Qt.y = 0.000000, R.y = 18.831226, Rt.y = 0.000000, S.y = 18.831226, St.y = 0.000000
P.y = 18.804449, Pt.y = 0.000000, Q.y = 18.804449, Qt.y = 0.000000, R.y = 18.804449, Rt.y = 0.000000, S.y = 18.804449, St.y = 0.000000
P.y = 18.777369, Pt.y = 0.000000, Q.y = 18.777369, Qt.y = 0.000000, R.y = 18.777369, Rt.y = 0.000000, S.y = 18.777369, St.y = 0.000000
